,text,score,length
11511, aw,0.0,3
640, no,-0.296,3
14324, ow,0.0,3
25964,  ?,0.0,3
25658, me,0.0,3
5784, hey,0.0,4
10663, yes,0.4019,4
238, thx,0.3612,4
11443, yup,0.0,4
734, yep,0.296,4
13968, gut,0.0,4
19936, boo,0.0,4
1667, aww,0.0,4
8568, heyy,0.0,5
18003, sigh,0.0258,5
20274, yeah,0.296,5
6739, yep.,0.296,5
3443, why?,0.0,5
8757, awww,0.0,5
18851, same,0.0,5
17225, rofl,0.5719,5
13346, hehe,0.0,5
16456,  not,0.0,5
20895, nope,0.0,5
6589, good,0.4404,5
10994, lame,-0.4215,5
26329, bye.,0.0,5
7662, nice,0.4215,5
3671,with ,0.0,5
8111, ****,0.0,5
11428, rain,0.0,5
22952, yay!,0.5707,5
22843, ouch,0.0,5
1307, mean,0.0,5
15771, supp?,0.0,6
12474,lonely,-0.3612,6
19788, foto!,0.0,6
13497, oh no,-0.296,6
17628, night,0.0,6
20887, yes!!,0.508,6
10124, i see,0.0,6
22459,  why?,0.0,6
25874,i see ,0.0,6
21202, thanx,0.0,6
6559, goood,0.0,6
26898, i did,0.0,6
2758, bored,-0.2732,6
10461, rude.,-0.4588,6
17209, yayyy,0.0,6
2206, gmail,0.0,6
5862,: yes!,0.4574,6
26685, *hug*,0.0,6
6838, yeah.,0.296,6
11741, uh oh,0.0,6
14362, why??,0.0,6
6109, yep!!,0.4184,6
17737,thanx ,0.0,6
20899, woot!,0.4753,6
24366,_ yeah,0.296,6
3322, also ,0.0,6
25642,eating.,0.0,7
13103, awww!!,0.0,7
17569, - sigh,0.0258,7
1823,thanks ,0.4404,7
11212, great!,0.6588,7
8815,what!?!,0.0,7
18503, aw yay,0.5267,7
813, night!,0.0,7
4697,at work,0.0,7
12288,  sucks,-0.3612,7
23733, i like,0.3612,7
5619,online!,0.0,7
12349, ikr!!!,0.0,7
26148, scary!,-0.5411,7
18937,really!,0.0,7
21455,**** qw,0.0,7
6425,annoyed,-0.3818,7
25689, always,0.0,7
19139, agree!,0.4199,7
1683, i know,0.0,7
20840,texting,0.0,7
13543,is cute,0.4588,7
327, there!,0.0,7
3779,at home,0.0,7
22148,hiccups,0.0,7
23350,boreedd,0.0,7
4317,workin.,0.0,7
1386, thanks,0.4404,7
11345,writing,0.0,7
23445,work...,0.0,7
3610,**** em,0.0,7
22585,) hello,0.0,7
3962,so cold,0.0,7
9028,is home,0.0,7
14826,please?,0.3182,7
11675,nov 5th,0.0,7
12884, i will,0.0,7
19280, right.,0.0,7
3032, me too,0.0,7
2842,howdyyy,0.0,7
11176, indeed,0.0,7
14369, oh no!,-0.3595,7
19047,bad day,-0.5423,7
27114, link !,0.0,7
1521, byebye,0.0,7
24785, yessir,0.0,7
3444, agreed,0.2732,7
17621, help!!,0.508,7
11586,headache,0.0,8
25446,painting,0.0,8
15991, thanks.,0.4404,8
6514,relaxing,0.4939,8
13525,  *hugs*,0.0,8
10669,so tired,-0.4927,8
25493,_uh_knee,0.0,8
185, ok then,0.296,8
19673, boffert,0.0,8
24676,_pearson,0.0,8
16987, gratiss,0.0,8
24693,yeah  :p,0.5574,8
12716,backache,0.0,8
25733, ruilen?,0.0,8
12706,was late,0.0,8
5216, thanks!,0.4926,8
1628, hi rob!,-0.5983,8
12657,cleaning,0.0,8
17170, i wish.,0.4019,8
20900, no idea,-0.296,8
7385,  5 days,0.0,8
15759,surgery.,0.0,8
982, i sorry,-0.0772,8
7398, yeah !!,0.4184,8
976, welcome,0.4588,8
278,  thanks,0.4404,8
6799,upgraded,0.0,8
224,_nesmith,0.0,8
19322,", word!?",0.0,8
19380, mornin`,0.0,8
13587, 1 pm...,0.0,8
15827, anytime,0.0,8
14943,off work,0.0,8
27194,picat 21,0.0,8
24803, indeed!,0.0,8
1476, oh yeah,0.296,8
11906, i agree,0.3612,8
23558,wal mart,0.0,8
4653, anymore,0.0,8
11696,it`s fun,0.5106,8
12902, /agrees,0.0,8
2364, morning,0.0,8
11806,so upset,-0.4391,8
21351,  yeaaa!,0.0,8
19937, why?!!?,0.0,8
25417,shut up.,0.0,8
19938,good day,0.4404,8
42,mayday?!,0.0,8
10407,its cold,0.0,8
14512, is over,0.0,8
21356, no fair,0.0258,8
23145,homework,0.0,8
5466,woke up.,0.0,8
5010, byeeeee,0.0,8
124,not well,-0.2057,8
68,chilliin,0.0,8
8863, thank u,0.3612,8
9009,hangover,0.0,8
26713,careless,-0.3612,8
5150, really??,0.0,9
5368, exactly!,0.0,9
12556,toodaayy!,0.0,9
17183, its cool,0.3182,9
15912, aww nice,0.4215,9
9384,relaxing.,0.4939,9
7491, kill her,-0.6908,9
18360,bbq party,0.4019,9
16234, i got it,0.0,9
25949, yes i am,0.4019,9
10109,  morning,0.0,9
9031,  follow?,0.0,9
6592,i wov you,0.0,9
5171,fo showww,0.0,9
9555,back home,0.0,9
17624, no! why?,-0.3595,9
9091, i guesss,0.0,9
9451, and you!,0.0,9
24774,head hurt,-0.5267,9
61, haha yes,0.6908,9
10789, i bet so,0.0,9
24758, no fair!,0.1007,9
22769, love it!,0.6696,9
26928, no sucky,-0.6249,9
5048, it does.,0.0,9
1810, you suck,-0.4404,9
1814,i got it!,0.0,9
3180, miss you,-0.1531,9
6043, i agree.,0.3612,9
15841, yes i do,0.4019,9
17594,is on air,0.0,9
6348, yes  lol,0.6705,9
12919,i hate pc,-0.5719,9
4667,by newark,0.0,9
17337,so bored.,-0.3384,9
18225, my cat!!,0.0,9
17384, too bad.,-0.5423,9
14026, thankyou,0.0,9
9705, i see...,0.0,9
9704,thank you,0.3612,9
21612,home now!,0.0,9
7514,to doente,0.0,9
15168,new toys.,0.0,9
17763, rubbish!,0.0,9
24290,bath time,0.0,9
16611, oh dear.,0.3818,9
3907, hey free,0.5106,9
6693,good job!,0.4926,9
23375, starbuck,0.0,9
22648,  thanks!,0.4926,9
12779, i`m here,0.0,9
2585,pinkberry,0.0,9
10926, nice one,0.4215,9
16298, hey you!,0.0,9
14770, g`night!,0.0,9
16056, so am i.,0.0,9
271, i know!!,0.0,9
19268, thanks..,0.0,9
26307, you wish,0.4019,9
8141, she will,0.0,9
14365,with alex,0.0,9
25355,too tired,-0.4404,9
11636,goodnight,0.0,9
16723,he`s off!,0.0,9
2564,wedding..,0.0,9
14968, g`mornin,0.0,9
21500,  good one,0.4404,10
11512, i like it,0.3612,10
5899,exam at 8.,0.0,10
25744,la bound!!,0.0,10
10248,: i`m real,0.0,10
25158,first time,0.0,10
18406,just relax,0.4404,10
4325, next time,0.0,10
16292,goodnight!,0.0,10
24153," they did,",0.0,10
19595, on what..,0.0,10
6681,() oh snap,0.0,10
18250,  mayyyybe,0.0,10
1330, oceans 12,0.0,10
17854, me either,0.0,10
7,soooo high,0.0,10
8866, on my way,0.0,10
715,deadlines!,0.0,10
9723, i hate it,-0.5719,10
10209, my fav cd,0.4588,10
18197,found none,0.0,10
1014, very bad.,-0.5849,10
15229,_hope why?,0.0,10
9056,is working,0.0,10
22813,i miss you,-0.1531,10
25171, d= indeed,0.3612,10
12820,_  me too!,0.0,10
16232, i`m good.,0.4404,10
11028, anything!,0.0,10
328,?sucks!?..,0.0,10
21736,update 100,0.0,10
11727,going home,0.0,10
7263,_pyee sure,0.3182,10
5839, good song,0.4404,10
12730, i wishhh!,0.0,10
13268,hand hurts,0.0258,10
16354,i cried...,0.0,10
9058,with matt.,0.0,10
21496, not funny,-0.3412,10
875,  i can`t.,0.0,10
10694, it`s not.,0.0,10
13074,let me out,0.0,10
218,ew traffic,0.0,10
11540, i know...,0.0,10
22729,_ hahaaaha,0.0,10
21873, word!!!!!,0.0,10
25301,madd bored,-0.2732,10
24172,byeeeee!!!,0.0,10
7049, how sweet,0.4588,10
15429,work today,0.0,10
15418,is at work,0.0,10
2838, good luck,0.7096,10
7635, of course,0.0,10
4049,  nice one,0.4215,10
26802, congrats!,0.5707,10
26604,follow me!,0.0,10
26810, i`m sorry,-0.0772,10
3269, not a fan,-0.2411,10
11265, told you!,0.0,10
15327,at the dmv,0.0,10
