text,score
" i`d have responded, if i were going",0.0
 sooo sad i will miss you here in san diego!!!,-0.6784
my boss is bullying me...,-0.5994
 what interview! leave me alone,-0.3595
" sons of ****, why couldn`t they put them on the releases we already bought",0.0
http://www.dothebouncy.com/smf - some shameless plugging for the best rangers forum on earth,0.4215
2am feedings for the baby are fun when he is all smiles and coos,0.7506
soooo high,0.0
 both of you,0.0
 journey!? wow... u just became cooler.  hehe... (is that possible!?),0.0
" as much as i love to be hopeful, i reckon the chances are minimal =p i`m never gonna get my cake and stuff",0.891
i really really like the song love story by taylor swift,0.8431
my sharpie is running dangerously low on ink,-0.6249
i want to go to music tonight but i lost my voice.,-0.4215
test test from the lg env2,0.0
"uh oh, i am sunburned",0.0
" s`ok, trying to plot alternatives as we speak *sigh*",0.0
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",-0.5106
is back home now      gonna miss every one,-0.1531
hes just not that into you,0.0
" oh marly, i`m so sorry!!  i hope you find her soon!! <3 <3",0.8557
playing ghost online is really interesting. the new updates are kirin pet and metamorph for third job.  can`t wait to have a dragon pet,0.3597
is cleaning the house for her family who is comming later today..,0.0
gotta restart my computer .. i thought win7 was supposed to put an end to the constant rebootiness,0.0
see wat i mean bout foll0w friidays... it`s called lose f0llowers friday... smh,-0.6124
"the free fillin` app on my ipod is fun, im addicted",0.765
  i`m sorry.,-0.0772
on the way to malaysia...no internet access to twit,0.0
juss came backk from berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,0.5106
went to sleep and there is a power cut in noida  power back up not working too,-0.2732
i`m going home now. have you seen my new twitter design? quite....heavenly isn`****?,0.0
i hope unni will make the audition . fighting dahye unni !,0.1759
 if it is any consolation i got my bmi tested hahaha it says i am obesed  well so much for being unhappy for about 10 minutes.,0.4404
 that`s very funny.  cute kids.,0.7559
" ahhh, i slept through the game.  i`m gonna try my best to watch tomorrow though. i hope we play army.",0.8591
"thats it, its the end. tears for fears vs eric prydz, dj hero   http://bit.ly/2hpbg4",-0.0258
born and raised in nyc and living in texas for the past 10 years!  i still miss ny,-0.2244
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",0.0
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0.0
"a little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",0.9467
" car not happy, big big dent in boot! hoping theyre not going to write it off, crossing fingers and waiting",-0.1255
im an avid fan of **** magazine and i love your magazines,0.8271
mayday?!,0.0
"ratt rocked nashville tonite..one thing sucked, no encore!  like in the 80`s they still have a fun show. pearcy has that hott bad boy look",-0.4926
 i love to! but i`m only available from 5pm.  and where dear? would love to help  convert her vids.ï¿½,0.9489
the girl in the hair salon asked me 'shall i trim your eyebrows!' how old do i feel?,0.0
egh blah and boooooooooooo i dunno wanna go to work  hangovers suckkkkkk im a drunk mess!,-0.68
:visiting my friendster and facebook,0.0
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0.6124
 which case? i got a new one last week and i`m not thrilled at all with mine.,-0.3412
 then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,-0.5719
" also bored at school, its my third freelesson( freistunde )",-0.2732
 hm... both of us i guess...,0.0
 it is ****...u have dissappointed me that past few days,0.0
 romance zero is funny,0.7579
 i`d rather do the early run..but i am a morning runner,0.0
bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,-0.5256
will be back later.  http://plurk.com/p/rp3k7,0.0
aw. torn ace of hearts  #hunchback,-0.25
 what fun are you speaking of?,0.5106
"i lost all my friends, i`m alone and sleepy..i wanna go home",-0.0516
 haha yes,0.6908
i give in to easily,0.34
what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? our wine was a red,0.891
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/ngnar,0.0
is at a photoshoot.,0.0
  he`s awesome... have you worked with him before? he`s a good friend.,0.7269
yay playing a show tonight! boo it`s gonna soggy and i`m at work right before playing,0.7424
chilliin,0.0
" if you know such agent, do let me know",0.0
i still smell of smoke  #kitchenfire,0.0
 a celtics-lakers rematch sounds better don`t you think? lol,0.6908
"anyone have an extra keane ticket? i promise to buy you a drink and take rad pics for your fb / blog / flickr., etc",0.3182
"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",0.0
 she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,0.2481
ok - i`m out of here for now. just popped in to say hi and check on things. i`ll probably head to the guttah later on tonight,0.296
"wow, i am really missin the fam(ily) today. baddd.",0.5859
 my sources say no,-0.296
i am sooo tired,-0.4404
" hey, you change your twitter account, and you didn`t even tell me...",0.0
 thank yyyyyyyyyoooooooooouuuuu!,0.4199
 lucky kid...i so wanna see loserville  pity im in oz....,0.1531
fell asleep waiting for my ride!,0.0
sick. with a flu like thing.,-0.5267
"still no reply from  about my simfinger problem  so no irape parody video until i get a response, sorry guys",-0.7506
happy star wars day everyone! and enjoy the holiday (uk),0.7424
 miles from you   i`m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers.,0.2263
"his snoring is so annoying n it keeps me from sleeping (like right now, lol) but i honestly wud miss it if it eva left  i love him.",0.825
i miss you bby      wish you were going tomorrow to make me do good.,0.6124
 well what im working on isn`t quite ready to post about publicly (still beta testing) but its a cool new script i coded,0.6593
 sweeeeet - san fran is awesome!!!!  love it there,0.7482
_mounce yes and it lasts way past my bedtime!,0.4574
 hi  how are you doing ???  *just joined twitter...*,0.0
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,-0.5777
eating ice cream and then getting ready for graduation.,0.3612
happy mothers day to all you mums out there,0.5719
" casey`s gone?!?! but why?! so, she piddled a little on the carpet. she`s prolly freaked cause it`s new. can we get her back?",-0.6844
 hemp cloth is marvelous but unfortunately no,-0.5346
gonna read a story bout adam lambert online then bed. nighty night,0.0
 we saw that in none 3d - the baddie`s the best,0.6369
4am. and im on the beach. pretty,0.4939
" certainly not cheers than, huh?",-0.0397
"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! ouch!",-0.6103
i realy wanted to go out cause its so nice but everybodys busy,0.32
 awesome.  i`m down in ocean beach (if you know where that is.) by the way. 'yourbiggestfan' i`m a re-al big fan of you-rs.,0.7506
at least i get to watch over time  let`s go pens!!,0.0
 cool i wear black most of the time when i go out,0.3182
 haha i do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,0.8398
 have a safe trip joshy poo.......you`ll knock them dead at your speech,-0.34
" woof, i wish i was allowed to go",0.4019
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,-0.3331
  has tickets.......?,0.0
"thank you, afrin nasal spray! also, i got a giant teacup tonight!",0.4738
 acsm. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,0.6369
"aww, i love my daddy! he works 7 days a week almost all day and still tries to go to sf with all of us",0.6696
so many tests todayyy  i don`t feel confident about anyy.,0.4939
graduation is done  im a little sad.. anyone want to hang out???,0.1472
 hahaa your awesomee !,0.0
holy smokes! star trek was freaking awesomeeeee,-0.4753
"i hate fallout 3 it keeps making me jump, i`m also low on health, money, ammo and food  don`t worry i`ll get through it.",-0.8271
" i had it! on my itunes, but then i lost all my songs.",-0.501
what`s with the gloomy weather? the sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,0.2263
"not looking forward to next week: maths, geography, english and french exams, totalling 7 hours",0.0
" poor you  get outside and sleep in the garden, the sun will do you good. but don`t forget suncream!!!",-0.5149
not well,-0.2057
 not a prob hun,0.0
"at dads, watching some mtv and am going on sims2 in a minutee",0.0
 absolutely,0.0
 what`s the matter chickadee?,0.0258
 hey mia!  totally adore your music.  when will your cd be out?,0.4561
"shopping. cleaning. bmfing. webcam chatting with nephews. nothing spesh, but a good bank holiday monday nonetheless",0.1131
 =o you need to ask him something? lmao i love him too,0.8442
 those splinters look very painful...but you were being very heroic saving mr. pickle,0.5984
 why are you sad?,-0.4767
 nice to see you tweeting!  it`s sunday 10th may and we`re celebrating mother`s day here today. so be nice to yer mom,0.8622
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  age of the instant gratification....,0.8641
 namaskar & namaste r both the same. marathi people say namaskar! its a marathi word.... should i ? ...naaaah !,0.0
" congrats!  i cuss like that in a matter of minutes, but didn`t know until now there is a reward for it.",0.8534
humous and dorito`s.... oh yes,0.4019
"missed all the awesome weather, because she was in a movie!",0.4926
today is going to be a normal day for i hope. we had a group of pilots from a large airline come in last night so it was too much drink,0.4404
"these kids are terrible! if i was in good evans, i`d call childline",-0.126
"unfortunatley, aerlingus no longer fly to copenhagen so we`re have to fly ryanair to billund and drive up to copenhagen one of the days!",-0.3595
" what`s sad is that i actually had to google that term. that sucks, tho.",-0.6808
hate fighting,-0.7351
" i watched that too!!! i didnt want her to win, but she put up a good fight..lol",0.7915
car-warmed sprite tastes like sore throat,0.0
just came 11th in cross country and beat dumbo,0.0
candle wax is very enjoyable.,0.4927
" she`s unassuming and unpretentious. she`s just, as. i suppose that`s why she`s so endearing--because we can relate to her",0.0
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,0.0
goooooddd morning tweets!!  week three of my workout. did i mention i got my new glasses yesterday?!?,0.0
 me too. i hate my computer so much..,-0.5719
 fine! going to do my big walk today 20 or so miles,0.2714
i want red cruisers!!  i don`t like the other ones. lmfao!,0.8007
mmmmmmmm... ? it in the morning,0.0
 me neither,0.0
