,Sentence,Score
lm.,8.016032064128256e-05,8.016032064128256e-05
yesyesyes!,8.016032064128256e-05,8.016032064128256e-05
haa.,8.016032064128256e-05,8.016032064128256e-05
http://tinyurl.com/ckdwao,8.016032064128256e-05,8.016032064128256e-05
http://naturalismo.files.wordpress.com/2008/01/elliott10.jpg,8.016032064128256e-05,8.016032064128256e-05
alhamdulilah.,8.016032064128256e-05,8.016032064128256e-05
awwwe!,8.016032064128256e-05,8.016032064128256e-05
wha`dya get her?,8.016032064128256e-05,8.016032064128256e-05
ok-,8.016032064128256e-05,8.016032064128256e-05
juneau,8.016032064128256e-05,8.016032064128256e-05
sukks (_!_)!!,8.016032064128256e-05,8.016032064128256e-05
i was a 6.5!,8.016032064128256e-05,8.016032064128256e-05
yogulicious?,8.016032064128256e-05,8.016032064128256e-05
sod her,8.016032064128256e-05,8.016032064128256e-05
_gaba,8.016032064128256e-05,8.016032064128256e-05
_war_mt,8.016032064128256e-05,8.016032064128256e-05
_10807,8.016032064128256e-05,8.016032064128256e-05
thxx!!,8.016032064128256e-05,8.016032064128256e-05
_aureole,8.016032064128256e-05,8.016032064128256e-05
i am so jelz.,8.016032064128256e-05,8.016032064128256e-05
khan,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/4m9up -,8.016032064128256e-05,8.016032064128256e-05
parabens!!!!!!!,8.016032064128256e-05,8.016032064128256e-05
_roy,8.016032064128256e-05,8.016032064128256e-05
fedex some over!,8.016032064128256e-05,8.016032064128256e-05
beatrice??,8.016032064128256e-05,8.016032064128256e-05
both very glam.,8.016032064128256e-05,8.016032064128256e-05
crazzyyyy !,8.016032064128256e-05,8.016032064128256e-05
_lpz,8.016032064128256e-05,8.016032064128256e-05
phelps,8.016032064128256e-05,8.016032064128256e-05
wowzers!,8.016032064128256e-05,8.016032064128256e-05
_twist86,8.016032064128256e-05,8.016032064128256e-05
so luckyyy.,8.016032064128256e-05,8.016032064128256e-05
ftr i,8.016032064128256e-05,8.016032064128256e-05
sorehead,8.016032064128256e-05,8.016032064128256e-05
whhaacck.,8.016032064128256e-05,8.016032064128256e-05
youknowimsofreshtilldeath?,8.016032064128256e-05,8.016032064128256e-05
ï¿½whyyy????????,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/67x8k -,8.016032064128256e-05,8.016032064128256e-05
la_mania,8.016032064128256e-05,8.016032064128256e-05
gaahhhh!,8.016032064128256e-05,8.016032064128256e-05
http://tr.im/kxcl,8.016032064128256e-05,8.016032064128256e-05
do you not like turtles?,8.016032064128256e-05,8.016032064128256e-05
pase,8.016032064128256e-05,8.016032064128256e-05
@_chellebelle_,8.016032064128256e-05,8.016032064128256e-05
7.30,8.016032064128256e-05,8.016032064128256e-05
ï¿½why?,8.016032064128256e-05,8.016032064128256e-05
_soch,8.016032064128256e-05,8.016032064128256e-05
mcc,8.016032064128256e-05,8.016032064128256e-05
you can do eeet!,8.016032064128256e-05,8.016032064128256e-05
http://blip.fm/~5z50,8.016032064128256e-05,8.016032064128256e-05
http://twitpic.com/4jmeh,8.016032064128256e-05,8.016032064128256e-05
tc.,8.016032064128256e-05,8.016032064128256e-05
_cowan,8.016032064128256e-05,8.016032064128256e-05
roe,8.016032064128256e-05,8.016032064128256e-05
ickkk!,8.016032064128256e-05,8.016032064128256e-05
but i dint have,8.016032064128256e-05,8.016032064128256e-05
damnation.,8.016032064128256e-05,8.016032064128256e-05
awoooogahhhhhh!!!!,8.016032064128256e-05,8.016032064128256e-05
wohoo!,8.016032064128256e-05,8.016032064128256e-05
'no more sorrow'!,8.016032064128256e-05,8.016032064128256e-05
yeee!,8.016032064128256e-05,8.016032064128256e-05
no more shredding,8.016032064128256e-05,8.016032064128256e-05
lamesauce.,8.016032064128256e-05,8.016032064128256e-05
yeeeehaaa!,8.016032064128256e-05,8.016032064128256e-05
07 !!!,8.016032064128256e-05,8.016032064128256e-05
duhhhhhh. . .,8.016032064128256e-05,8.016032064128256e-05
i have a freak.,8.016032064128256e-05,8.016032064128256e-05
/drool.,8.016032064128256e-05,8.016032064128256e-05
kill_boy,8.016032064128256e-05,8.016032064128256e-05
grecia!,8.016032064128256e-05,8.016032064128256e-05
i like vague.,8.016032064128256e-05,8.016032064128256e-05
oooooo.,8.016032064128256e-05,8.016032064128256e-05
nessiah,8.016032064128256e-05,8.016032064128256e-05
2.95%,8.016032064128256e-05,8.016032064128256e-05
eclectic,8.016032064128256e-05,8.016032064128256e-05
oy!,8.016032064128256e-05,8.016032064128256e-05
17/7/09 here,8.016032064128256e-05,8.016032064128256e-05
where is everyoneeeeeeeeee ?,8.016032064128256e-05,8.016032064128256e-05
jeeeeez.,8.016032064128256e-05,8.016032064128256e-05
apuya,8.016032064128256e-05,8.016032064128256e-05
ummmph.,8.016032064128256e-05,8.016032064128256e-05
